CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2023;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;169;31;54;12;0;0;0;57;10;12;8749.00;334.50;6.30;85.90;76.43;75.39;0.00;0.00;15/09/2024
2023;Facultad de Ciencias de la Salud;1-Enfermería;Grado;646;173;176;134;0;0;0;153;18;8;37554.50;1738.50;4.06;96.84;94.14;98.41;0.00;0.00;15/09/2024
2023;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;208;59;59;43;0;0;0;57;3;11;12297.00;1270.00;4.00;96.75;94.39;97.22;0.00;0.00;15/09/2024
2023;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;137;37;36;32;0;0;0;30;2;5;8014.00;437.00;4.04;98.82;96.98;96.43;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;171;40;55;33;0;0;0;9;18;18;10016.00;104.50;4.29;96.61;93.95;96.86;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;25;0;;17;0;0;0;0;;1;480.00;0.00;6.00;98.36;89.55;81.54;;;15/09/2024
2023;Facultad de Filosofía y Letras;1-Filosofía;Grado;230;54;60;32;0;0;0;36;29;7;12071.50;558.00;4.79;91.35;76.92;90.47;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Periodismo;Grado;235;57;60;41;0;0;0;40;62;20;13594.50;595.00;4.21;96.50;91.83;97.21;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;50;14;36;9;0;0;0;18;6;2;2376.00;2087.50;4.25;90.48;80.64;94.23;0.00;0.00;15/09/2024
2023;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;236;56;60;46;0;0;0;67;6;5;13639.00;755.00;4.05;96.28;93.39;97.32;0.00;0.00;15/09/2024
2023;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;275;72;80;51;0;0;0;5;4;3;16779.00;131.00;4.08;94.34;88.54;94.66;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;592;158;180;109;1;0;0;57;46;22;34390.00;898.00;4.33;90.93;83.98;91.64;0.00;0.00;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;1-Ingeniería en Diseño Industrial y Desarrollo de Producto;Grado;374;83;82;44;0;0;0;102;28;33;21384.00;613.00;4.68;87.74;83.51;88.55;0.00;0.00;15/09/2024
2023;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;246;60;60;34;0;0;0;53;13;16;14068.00;612.00;5.03;84.01;77.93;89.37;0.00;0.00;15/09/2024
2023;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;276;62;62;35;0;0;0;56;15;15;15351.00;926.00;4.68;91.35;87.58;94.34;0.00;0.00;15/09/2024
2023;Facultad de Ciencias;1-Geología;Grado;104;32;47;8;0;0;0;16;12;6;5618.50;70.50;5.57;77.84;70.62;75.87;0.00;0.00;15/09/2024
2023;Facultad de Ciencias;1-Óptica y Optometría;Grado;206;46;60;38;0;0;0;25;3;2;11855.00;88.50;4.63;86.46;78.73;87.45;0.00;0.00;15/09/2024
2023;Facultad de Educación;1-Magisterio en Educación Primaria;Grado;1026;240;240;201;2;0;0;33;28;63;58424.00;1069.00;4.40;95.23;92.27;92.87;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Primaria;Grado;525;117;120;90;0;0;0;18;3;14;30607.00;392.00;4.46;89.64;84.39;92.97;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Primaria;Grado;466;116;120;62;0;0;0;29;8;21;26356.00;639.50;4.73;90.02;85.24;88.73;0.00;0.00;15/09/2024
2023;Facultad de Educación;1-Magisterio en Educación Infantil;Grado;485;119;120;115;0;0;0;27;15;16;28009.00;1000.50;4.25;94.65;92.64;95.86;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Infantil;Grado;453;115;120;88;0;0;0;46;3;12;25364.50;1416.00;4.30;90.34;83.52;94.34;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Infantil;Grado;395;112;120;63;0;0;0;63;10;15;22513.00;1115.50;4.46;91.40;89.27;91.57;0.00;0.00;15/09/2024
2023;Facultad de Medicina;1-Medicina;Grado;1277;197;200;226;0;0;0;634;76;108;76553.50;7140.00;5.99;96.92;94.14;97.59;0.00;0.00;15/09/2024
2023;Facultad de Ciencias de la Salud y del Deporte;1-Medicina;Grado;87;46;45;0;0;0;0;18;;0;4851.00;601.00;;93.67;90.93;;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Estudios Clásicos;Grado;70;21;30;11;0;0;0;13;30;2;3659.50;43.00;5.40;78.23;62.63;86.32;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Estudios Ingleses;Grado;405;95;100;67;0;0;0;26;89;30;22290.00;297.50;4.97;85.21;75.72;85.63;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Filología Hispánica;Grado;267;62;70;39;0;0;0;68;110;15;14462.50;991.00;4.94;86.75;75.04;85.23;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Historia;Grado;465;135;150;49;0;0;0;87;65;13;25495.00;702.00;5.07;88.16;76.20;89.85;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Historia del Arte;Grado;254;55;114;25;0;0;0;44;19;7;12489.50;701.50;4.90;82.84;65.46;88.50;0.00;0.00;15/09/2024
2023;Facultad de Ciencias;1-Física;Grado;375;87;85;58;0;0;0;102;9;27;21453.00;1160.00;4.72;88.38;81.01;85.48;0.00;0.00;15/09/2024
2023;Facultad de Ciencias;1-Biotecnología;Grado;291;66;66;60;0;0;0;89;19;24;16901.00;930.00;4.24;91.41;86.10;94.67;0.00;0.00;15/09/2024
2023;Facultad de Ciencias;1-Matemáticas;Grado;328;69;70;59;0;0;0;305;13;30;18540.50;12592.50;5.16;86.04;78.42;84.73;0.00;0.00;15/09/2024
2023;Facultad de Ciencias;1-Química;Grado;590;142;150;53;0;0;0;105;10;11;32673.00;908.50;5.02;78.41;68.79;81.67;0.00;0.00;15/09/2024
2023;Facultad de Ciencias de la Salud y del Deporte;1-Nutrición Humana y Dietética;Grado;211;52;56;45;0;0;0;63;4;8;11318.00;741.00;4.51;86.86;79.91;95.58;0.00;0.00;15/09/2024
2023;Facultad de Ciencias de la Salud y del Deporte;1-Odontología;Grado;170;44;36;32;0;0;0;82;4;1;9823.00;1150.50;4.96;96.34;92.10;96.38;0.00;0.00;15/09/2024
2023;Facultad de Veterinaria;1-Veterinaria;Grado;759;146;146;99;0;0;0;110;26;29;45215.50;1311.50;5.40;90.36;86.25;91.55;0.00;0.00;15/09/2024
2023;Facultad de Economía y Empresa;1-Administración y Dirección de Empresas;Grado;1585;393;400;244;2;0;0;382;205;106;91532.00;5596.00;5.27;77.79;67.40;87.26;0.00;0.00;15/09/2024
2023;Facultad de Empresa y Gestión Pública;1-Administración y Dirección de Empresas;Grado;156;46;65;18;1;0;0;49;22;11;8654.00;335.00;5.39;78.22;66.33;81.06;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Sociales y Humanas de Teruel;1-Administración y Dirección de Empresas;Grado;104;28;45;13;0;0;0;24;20;4;5307.00;167.50;6.33;77.39;66.34;85.68;0.00;0.00;15/09/2024
2023;Facultad de Derecho;1-Derecho;Grado;1387;305;308;292;0;0;0;456;62;90;80040.50;3501.50;5.01;85.25;78.86;89.19;0.00;0.00;15/09/2024
2023;Facultad de Economía y Empresa;1-Economía;Grado;578;143;200;78;0;0;0;123;62;21;32897.00;832.00;5.25;77.10;62.99;81.21;0.00;0.00;15/09/2024
2023;Facultad de Economía y Empresa;1-Finanzas y Contabilidad;Grado;446;134;150;33;0;0;0;83;13;8;24946.00;1724.00;5.73;72.63;56.95;77.15;0.00;0.00;15/09/2024
2023;Facultad de Filosofía y Letras;1-Geografía y Ordenación del Territorio;Grado;86;20;45;19;0;0;0;18;24;5;4555.00;112.00;4.94;91.93;80.59;91.03;0.00;0.00;15/09/2024
2023;Facultad de Empresa y Gestión Pública;1-Gestión y Administración Pública;Grado;134;43;45;16;8;0;4;78;4;0;5510.00;2657.50;4.75;92.20;79.76;84.57;0.00;0.00;15/09/2024
2023;Facultad de Economía y Empresa;1-Marketing e Investigación de Mercados;Grado;570;141;150;94;0;0;0;126;49;28;31564.00;1455.50;5.16;78.07;68.07;84.66;0.00;0.00;15/09/2024
2023;Facultad de Ciencias Sociales y del Trabajo;1-Relaciones Laborales y Recursos Humanos;Grado;677;166;180;93;1;0;1;136;28;22;37158.00;925.50;5.41;79.33;71.78;87.04;0.00;0.00;15/09/2024
2023;Escuela Universitaria de Turismo de Zaragoza;1-Turismo;Grado;164;21;72;33;0;0;0;78;5;18;8286.00;2369.00;4.40;89.70;74.45;95.66;0.00;0.00;15/09/2024
2023;Escuela Politécnica Superior;1-Ingeniería Agroalimentaria y del Medio Rural;Grado;215;51;45;6;0;0;0;66;5;8;11367.00;736.50;6.00;79.03;65.41;73.18;0.00;0.00;15/09/2024
2023;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería Civil;Grado;74;28;54;6;1;0;1;16;15;0;3755.00;205.00;7.50;78.55;61.52;71.68;0.00;0.00;15/09/2024
2023;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Arquitectura Técnica;Grado;126;42;45;6;2;1;1;23;24;3;6337.00;578.00;6.00;83.91;68.45;90.53;0.00;0.00;15/09/2024
2023;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería de Organización Industrial;Grado;163;40;56;17;0;0;0;58;23;5;6882.00;1914.00;4.71;83.88;68.95;95.26;0.00;0.00;15/09/2024
2023;Centro Universitario de la Defensa de Zaragoza;1-Ingeniería de Organización Industrial;Grado;1285;313;300;210;0;0;0;177;;0;61269.00;2310.00;5.26;96.41;95.93;92.54;0.00;0.00;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías Industriales;Grado;703;174;180;60;0;0;0;121;13;53;39839.50;664.50;5.28;79.04;66.74;82.77;0.00;0.00;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías de Telecomunicación;Grado;279;81;90;19;0;0;0;234;1;8;15519.50;8584.50;5.83;72.96;59.94;74.84;0.00;0.00;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;1-Ingeniería Eléctrica;Grado;226;70;81;17;2;0;0;48;7;6;11952.00;973.50;5.44;75.41;56.94;77.86;0.00;0.00;15/09/2024
2023;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrónica y Automática;Grado;341;103;120;21;0;0;0;68;2;15;18211.00;997.50;6.53;71.35;56.45;73.95;0.00;0.00;15/09/2024
